Passo,Estado,Taxa Configurada,Bytes Transmitidos
1,0,0M,0
2,1,10M,10490071
3,2,50M,52432521
4,0,0M,0
5,1,10M,10485532
6,2,50M,52432542
7,2,50M,52432542
8,0,0M,0
9,2,50M,52432531
10,2,50M,52432217
11,2,50M,52432542
12,2,50M,52432521
13,2,50M,52432531
14,2,50M,52432531
15,2,50M,52432615
16,2,50M,52432542
17,0,0M,0
18,2,50M,52432500
19,2,50M,52431944
20,2,50M,52432531
21,2,50M,52432521
22,2,50M,52432699
23,2,50M,52428177
24,2,50M,52432521
25,2,50M,52432531
26,2,50M,52432468
27,1,10M,10485564
28,0,0M,0
29,0,0M,0
30,0,0M,0
31,1,10M,10485610
32,0,0M,0
33,0,0M,0
34,1,10M,10485536
35,0,0M,0
36,0,0M,0
37,1,10M,10485551
38,1,10M,10485538
39,1,10M,10487451
40,2,50M,52432531
41,2,50M,52432542
42,0,0M,0
43,0,0M,0
44,1,10M,10485662
45,1,10M,10485540
46,1,10M,10485438
47,1,10M,10485387
48,1,10M,10485572
49,1,10M,10485538
50,1,10M,10485614
51,1,10M,10485618
52,0,0M,0
53,2,50M,52432521
54,2,50M,52432531
55,1,10M,10485538
56,1,10M,10487608
57,1,10M,10485645
58,0,0M,0
59,0,0M,0
60,0,0M,0
61,1,10M,10485570
62,0,0M,0
63,0,0M,0
64,0,0M,0
65,1,10M,10485301
66,1,10M,10485410
67,2,50M,52432542
68,2,50M,52432531
69,1,10M,10485408
70,1,10M,10485538
71,1,10M,10487692
72,1,10M,10485564
73,0,0M,0
74,1,10M,10485543
75,1,10M,10487537
76,1,10M,10485536
77,2,50M,52432521
78,2,50M,52432531
79,2,50M,52432521
80,1,10M,10485534
81,1,10M,10487453
82,0,0M,0
83,1,10M,10486811
84,1,10M,10485603
85,1,10M,10487447
86,1,10M,10485538
87,2,50M,52428177
88,1,10M,10485438
89,1,10M,10485526
90,0,0M,0
91,1,10M,10487434
92,2,50M,52432982
93,2,50M,52432531
94,0,0M,0
95,0,0M,0
96,0,0M,0
97,0,0M,0
98,0,0M,0
99,0,0M,0
100,0,0M,0
101,0,0M,0
102,1,10M,10485538
103,2,50M,52432531
104,2,50M,52432458
105,2,50M,52432531
106,2,50M,52432542
107,2,50M,52432531
108,2,50M,52433238
109,1,10M,10487432
110,2,50M,52432542
111,1,10M,10485570
112,0,0M,0
113,0,0M,0
114,0,0M,0
115,0,0M,0
116,0,0M,0
117,1,10M,10487572
118,1,10M,10487451
119,1,10M,10485538
120,1,10M,10487545
121,1,10M,10485536
122,2,50M,52432531
123,1,10M,10485536
124,1,10M,10485534
125,1,10M,10485538
126,1,10M,10487426
127,2,50M,52432531
128,2,50M,52432542
129,1,10M,10485408
130,1,10M,10485501
131,0,0M,0
132,1,10M,10487478
133,0,0M,0
134,0,0M,0
135,1,10M,10485536
136,1,10M,10485637
137,1,10M,10485538
138,1,10M,10485536
139,0,0M,0
140,0,0M,0
141,1,10M,10485587
142,1,10M,10485574
143,2,50M,52432531
144,1,10M,10485572
145,1,10M,10485576
146,1,10M,10487790
147,1,10M,10485538
148,2,50M,52433978
149,0,0M,0
150,1,10M,10485540
